date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-04-26T00:00:00Z,Csc,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,8,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,9,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,10,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,3,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,4,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,5,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,6,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,8,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,9,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csc,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,2,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csc,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csc,1,0,0,0,0,0,0,1,1,0,2,4
2015-05-05T00:00:00Z,Csc,2,0,0,0,0,1,0,0,2,0,0,3
2015-05-05T00:00:00Z,Csc,3,0,0,0,0,0,0,0,1,1,0,2
2015-05-05T00:00:00Z,Csc,4,0,0,0,0,0,2,0,0,0,0,2
2015-05-05T00:00:00Z,Csc,5,0,0,0,2,2,0,0,0,0,0,4
2015-05-05T00:00:00Z,Csc,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csc,7,3,0,0,0,0,0,0,0,0,0,3
2015-05-05T00:00:00Z,Csc,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-05T00:00:00Z,Csc,9,0,0,0,0,0,0,0,0,0,0,0
